,abstract,pub_date,document_type,news_desk,section_name,type_of_material,keywords
0,Now we need to help Kyiv win decisively in 2023.,2023-03-01T00:00:07+0000,article,OpEd,Opinion,Op-Ed,"['RUSSIAN INVASION OF UKRAINE (2022)', 'UNITED STATES INTERNATIONAL RELATIONS', 'DEFENSE AND MILITARY FORCES', 'POLITICS AND GOVERNMENT', 'BIDEN, JOSEPH R JR', 'RUSSIA', 'UKRAINE', 'UNITED STATES']"
1,"She had been a Manson family member and was along on the nights of the infamous Tate-LaBianca murders, but she became the prosecution’s lead witness.",2023-03-01T00:11:56+0000,article,Obits,U.S.,Obituary (Obit),"['KASABIAN, LINDA LOUISE', 'DEATHS (OBITUARIES)', 'SERIAL MURDERS', 'MANSON, CHARLES', 'BUGLIOSI, VINCENT', 'TATE, SHARON']"
2,"Some Republicans and Democrats quizzed military officials about the money that has been sent to Kyiv so far and what is still to come, threatening a consensus in favor of aid.",2023-03-01T00:18:52+0000,article,Washington,U.S.,News,"['UNITED STATES POLITICS AND GOVERNMENT', 'UNITED STATES DEFENSE AND MILITARY FORCES', 'HOUSE OF REPRESENTATIVES', 'REPUBLICAN PARTY', 'DEMOCRATIC PARTY', 'HOUSE COMMITTEE ON ARMED SERVICES', 'DEFENSE DEPARTMENT', 'CLYDE, ANDREW (1963- )', 'KHANNA, RO']"
3,"Laura Kavanagh, the first woman to lead the New York Fire Department, demoted several officials. In return, they accused her of putting residents at risk.",2023-03-01T00:22:09+0000,article,Metro,New York,News,"['FIRES AND FIREFIGHTERS', 'FIRE DEPARTMENT (NYC)', 'KAVANAGH, LAURA', 'SUITS AND LITIGATION (CIVIL)', 'NEW YORK CITY']"
4,"Parker Posey stars in “The Seagull/Woodstock, NY,” as Chekhov comes to the Catskills.",2023-03-01T00:30:07+0000,article,Culture,Theater,Review,"['THEATER', 'THEATER (OFF BROADWAY)', 'NEW GROUP THEATER CO', 'THE SEAGULL/WOODSTOCK, NY (PLAY)', 'BRADSHAW, THOMAS', 'ELLIOTT, SCOTT', 'POSEY, PARKER', 'NEF, HARI (1992- )']"
5,See full results and maps from the Chicago Municipal elections.,2023-03-01T00:39:04+0000,multimedia,Graphics,U.S.,,"['ILLINOIS', 'ELECTIONS, MAYORS']"
6,"Executives and top hosts found themselves in a bind after Donald Trump began pushing unfounded claims about election fraud, court filings show.",2023-03-01T00:43:24+0000,article,Business,Business Day,News,"['FOX CORPORATION', 'STORMING OF THE US CAPITOL (JAN, 2021)', 'VOTER FRAUD (ELECTION FRAUD)', 'DOMINION VOTING SYSTEMS CORP', 'TRUMP, DONALD J', 'PRESIDENTIAL ELECTION OF 2020', 'LIBEL AND SLANDER', 'TELEVISION', 'NEWS AND NEWS MEDIA', 'SUITS AND LITIGATION (CIVIL)', 'FOX NEWS CHANNEL', 'MURDOCH, LACHLAN', 'MURDOCH, RUPERT', 'SCOTT, SUZANNE']"
7,"Bryant, the widow of the basketball star Kobe Bryant, sued Los Angeles County after some of its employees shared graphic photos of the crash that killed her husband and one of their daughters.",2023-03-01T00:51:34+0000,article,Sports,Sports,News,"['BRYANT, KOBE', 'BRYANT, VANESSA (1982- )', 'SUITS AND LITIGATION (CIVIL)', 'LOS ANGELES (CALIF)', 'LOS ANGELES COUNTY (CALIF)', ""LOS ANGELES COUNTY SHERIFF'S DEPARTMENT"", 'FIRE DEPARTMENT (LOS ANGELES)', 'AVIATION ACCIDENTS, SAFETY AND DISASTERS', 'BASKETBALL', 'LOS ANGELES LAKERS', 'MAMBA SPORTS ACADEMY', 'BRYANT, GIANNA (2006-20)', 'VILLANUEVA, ALEX (1963- )', 'ZOBAYAN, ARA']"
8,"The U.S. secretary of state’s diplomatic mission is part of a broader Biden administration effort to strengthen support for Ukraine, or at least push neutral nations to refrain from aiding Russia.",2023-03-01T01:04:30+0000,article,Foreign,World,News,"['RUSSIAN INVASION OF UKRAINE (2022)', 'UNITED STATES INTERNATIONAL RELATIONS', 'POLITICS AND GOVERNMENT', 'CENTRAL ASIA', 'BLINKEN, ANTONY J', 'BIDEN, JOSEPH R JR', 'ZELENSKY, VOLODYMYR', 'PUTIN, VLADIMIR V', 'TOKAYEV, KASSYM-JOMART', 'UKRAINE', 'XI JINPING', 'CHINA', 'INTERNATIONAL RELATIONS']"
9,"Mayor Eric Adams also suggested that banning organized public school prayer was a mistake, saying, “When we took prayers out of schools, guns came into schools.”",2023-03-01T01:27:23+0000,article,Metro,New York,News,"['RELIGION-STATE RELATIONS', 'RELIGION AND BELIEF', 'MAYORS', 'NEW YORK CITY', 'LOCAL GOVERNMENT', 'ADAMS, ERIC L']"
10,Aaron M. Rosenberg’s puzzle is royally fun.,2023-03-01T03:00:05+0000,article,Games,Crosswords & Games,News,"['CROSSWORD PUZZLES', 'ROSENBERG, AARON M (CROSSWORD CONSTRUCTOR)']"
11,A train with about 350 passengers collided with a freight train near the city of Larissa in northern Greece.,2023-03-01T03:09:48+0000,multimedia,,World,Video,"['DEATHS (FATALITIES)', 'GREECE TRAIN CRASH (FEB 28, 2023)', 'RAILROAD ACCIDENTS AND SAFETY', 'GREECE', 'LARISSA (GREECE)']"
12,"An independent review found that China, Russia and Iran tried to interfere in the 2019 and 2021 votes, but that the elections’ integrity was not compromised.",2023-03-01T03:12:40+0000,article,Foreign,World,News,"['CANADA', 'ELECTIONS', 'CHINA', 'TRUDEAU, JUSTIN', 'COMMUNIST PARTY OF CHINA', 'CONSERVATIVE PARTY (CANADA)', 'GLOBAL TIMES', 'GLOBE & MAIL', 'LIBERAL PARTY (CANADA)', 'CANADIAN FEDERAL ELECTION (2019)']"
13,"Mr. Tinubu, a former governor of Lagos and the ruling party candidate, campaigned using the slogan “It’s my turn.” He promised to address widespread insecurity and economic woes, but he faced concerns about his fitness for office.",2023-03-01T03:27:46+0000,article,Foreign,World,News,"['ELECTIONS', 'POLITICS AND GOVERNMENT', 'TINUBU, BOLA AHMED', 'NIGERIA', 'BUHARI, MUHAMMADU']"
14,"Corrections that appeared in print on Wednesday, March 1, 2023.",2023-03-01T03:34:18+0000,article,Corrections,Corrections,Correction,[]
15,"Quotation of the Day for Wednesday, March 1, 2023.",2023-03-01T03:35:29+0000,article,Summary,Corrections,Quote,[]
16,A New York Times analysis of videos shows how an Israeli raid to capture Palestinian gunmen rippled into one of the most violent encounters in the West Bank in decades.,2023-03-01T05:01:10+0000,article,Video,World,News,"['WEST BANK', 'ISRAEL', 'CIVILIAN CASUALTIES', 'NABLUS (WEST BANK)', 'YOUR-FEED-VISUAL-INVESTIGATIONS', 'DEFENSE AND MILITARY FORCES', 'PALESTINIANS', 'VIDEO RECORDINGS, DOWNLOADS AND STREAMING']"
17,"Wild creatures have been in the headlines lately, sometimes in disturbing ways that reflect the impact of climate change.",2023-03-01T05:02:04+0000,article,Metro,New York,briefing,"['NEW YORK CITY', 'INTERNAL-STORYLINE-NO', 'ANIMALS', 'E-COMMERCE', 'ALLIGATORS', 'FISH AND OTHER MARINE LIFE', 'TURTLES AND TORTOISES', 'FREIGHT (CARGO)', 'ZOOS', 'GLOBAL WARMING', 'BIRDS', 'ANIMAL CARE CENTERS OF NEW YORK CITY', 'BRONX ZOO WILDLIFE CONSERVATION PARK']"
18,The morning shooting shocked many people who saw a roughly 45-second clip of the encounter.,2023-03-01T05:16:17+0000,article,Express,U.S.,News,"['MURDERS, ATTEMPTED MURDERS AND HOMICIDES', 'ST LOUIS (MO)', 'THOMAS, DESHAWN (FEBRUARY 27, 2023 MURDER)', 'SALDANA, DAVID (D 2023)']"
19,Concerns about U.S. spending on aid to Ukraine.,2023-03-01T05:42:18+0000,article,NYTNow,Briefing,briefing,[]
20,The United States is framing a visit to China by President Aleksandr G. Lukashenko of Belarus as a sign of Beijing’s support for the war in Ukraine and an attempt by two of Russia’s closest allies to strengthen ties.,2023-03-01T06:00:00+0000,article,Foreign,World,News,[]
21,This word has appeared in 67 articles on NYTimes.com in the past year. Can you use it in a sentence?,2023-03-01T07:00:02+0000,article,Learning,The Learning Network,News,[]
22,"A train with over 300 passengers on board collided with a freight train. The prime minister blamed “tragic human error,” the police arrested a station manager, and the transport minister announced his resignation.",2023-03-01T07:18:59+0000,article,Foreign,World,News,"['GREECE TRAIN CRASH (FEB 28, 2023)', 'DEATHS (FATALITIES)', 'RAILROAD ACCIDENTS AND SAFETY', 'GREECE', 'LARISSA (GREECE)']"
23,"“If there are any Fox viewers watching this — first off, I assume you’re looking for remote batteries. Try the junk drawer in the kitchen,” Colbert said.",2023-03-01T07:38:41+0000,article,Culture,Arts,News,"['LATE SHOW WITH STEPHEN COLBERT (TV PROGRAM)', 'JIMMY KIMMEL LIVE (TV PROGRAM)', 'THE DAILY SHOW WITH TREVOR NOAH (TV PROGRAM)', 'THE LATE LATE SHOW WITH JAMES CORDEN (TV PROGRAM)', 'LATE NIGHT WITH SETH MEYERS (TV PROGRAM)']"
24,How organized are your digital spaces?,2023-03-01T08:00:02+0000,article,Learning,The Learning Network,News,[]
25,Feeling stuck on today’s puzzle? We can help.,2023-03-01T08:00:03+0000,article,Games,Crosswords & Games,News,['SPELLING BEE (GAME)']
26,Joseph DeRuvo Jr. has lived a mostly barefooted life for nearly two decades. The experience has given him a thick skin.,2023-03-01T08:00:10+0000,article,Metro,New York,News,"['FEET', 'CONTENT TYPE: PERSONAL PROFILE', 'INTERNAL-SUB-ONLY', 'AUDIO-NEUTRAL-IMMERSIVE']"
27,"More than 1,000 Turkish residents displaced by the recent earthquakes are staying on a luxury boat in the Mediterranean Sea.",2023-03-01T08:00:15+0000,article,Foreign,World,News,"['TURKEY EARTHQUAKE (FEB 6, 2023)', 'REFUGEES AND DISPLACED PERSONS', 'SHIPS AND SHIPPING', 'CRUISES', 'MEDITERRANEAN SEA', 'TURKEY', 'VIS-PHOTO']"
